"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 13 06:22:25 GMT 2022","Tue Dec 13 06:22:27 GMT 2022","1989","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Tue Dec 13 06:22:23 GMT 2022","Tue Dec 13 06:22:25 GMT 2022","2331","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Tue Dec 13 06:22:17 GMT 2022","Tue Dec 13 06:22:23 GMT 2022","6190","","qa.guru.allure.SelenideTest","","qa.guru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
